branchName,category,subCategory,half,year,itemCode,size,quantity,codes
WAREHOUSE,LX,IW,9,24,WC,40,,IWLX0924WC40LLB0Z6
WAREHOUSE,LX,IW,9,24,WC,40,,IWLX0924WC400ZO394
WAREHOUSE,LX,IW,9,24,WC,40,,IWLX0924WC40X3DASG
WAREHOUSE,LX,IW,9,24,T,40,,IWLX0924T40YD2RQT
WAREHOUSE,LX,IW,9,24,T,40,,IWLX0924T4054U6NH
WAREHOUSE,LX,IW,9,24,T,40,,IWLX0924T404N4Q8I
WAREHOUSE,LX,IW,9,24,T,40,,IWLX0924T40SM3R0D
WAREHOUSE,LX,IW,9,24,T,40,,IWLX0924T40O4DI8P
WAREHOUSE,LX,IW,9,24,T,40,,IWLX0924T40XD53HV
WAREHOUSE,LX,IW,9,24,T,40,,IWLX0924T40W6RYKU
WAREHOUSE,LX,IW,9,24,T,40,,IWLX0924T408WA8ZP
WAREHOUSE,LX,IW,9,24,T,40,,IWLX0924T40OJRNDJ
WAREHOUSE,LX,IW,9,24,T,40,,IWLX0924T40ZEN8KN
WAREHOUSE,LX,IW,9,24,T,40,,IWLX0924T4031MD44
WAREHOUSE,LX,IW,9,24,T,40,,IWLX0924T40GZZOUD
WAREHOUSE,LX,IW,9,24,T,40,,IWLX0924T40XVTZP4
WAREHOUSE,LX,IW,9,24,BZ,42,,IWLX0924BZ42YV5UYH
WAREHOUSE,LX,IW,9,24,BZ,42,,IWLX0924BZ42CLPI2Y
WAREHOUSE,LX,IW,9,24,BZ,42,,IWLX0924BZ42B15VMH
WAREHOUSE,LX,IW,9,24,BZ,42,,IWLX0924BZ42T81JBJ
WAREHOUSE,LX,IW,9,24,BZ,42,,IWLX0924BZ42CKP2CX
WAREHOUSE,LX,IW,9,24,BZ,42,,IWLX0924BZ42W1G5UJ
WAREHOUSE,LX,IW,9,24,BZ,42,,IWLX0924BZ42YPA1I5
WAREHOUSE,LX,IW,9,24,BZ,42,,IWLX0924BZ426SKVRW
WAREHOUSE,LX,IW,9,24,BZ,42,,IWLX0924BZ422O0WS9
WAREHOUSE,LX,IW,9,24,WC,42,,IWLX0924WC42UDOFVK
WAREHOUSE,LX,IW,9,24,WC,42,,IWLX0924WC421NYTJY
WAREHOUSE,LX,IW,9,24,T,42,,IWLX0924T42PWYJ22
WAREHOUSE,LX,IW,9,24,T,42,,IWLX0924T42FV8F26
WAREHOUSE,LX,IW,9,24,T,42,,IWLX0924T42XXJP2O
WAREHOUSE,LX,IW,9,24,T,42,,IWLX0924T42UCEX27
WAREHOUSE,LX,IW,9,24,T,42,,IWLX0924T425BUJR1
WAREHOUSE,LX,IW,9,24,T,42,,IWLX0924T42KYLS71
WAREHOUSE,LX,IW,9,24,T,42,,IWLX0924T42IOLEYK
WAREHOUSE,LX,IW,9,24,T,42,,IWLX0924T42H2PTH1
WAREHOUSE,LX,IW,9,24,T,42,,IWLX0924T420RCQO6
WAREHOUSE,LX,IW,9,24,T,42,,IWLX0924T42WSW1AX
WAREHOUSE,LX,IW,9,24,T,42,,IWLX0924T42GHL74E
WAREHOUSE,LX,IW,9,24,T,42,,IWLX0924T42K7SO08
WAREHOUSE,LX,IW,9,24,T,42,,IWLX0924T42BY858U
WAREHOUSE,LX,IW,9,24,T,42,,IWLX0924T42HMK3MQ
WAREHOUSE,LX,IW,9,24,BZ,38,,IWLX0924BZ384QITOO
WAREHOUSE,LX,IW,9,24,BZ,38,,IWLX0924BZ38S2S2EP
WAREHOUSE,LX,IW,9,24,BZ,38,,IWLX0924BZ38I980F9
WAREHOUSE,LX,IW,9,24,WC,38,,IWLX0924WC38W7LQSS
WAREHOUSE,LX,IW,9,24,T,38,,IWLX0924T38RBBGMF
WAREHOUSE,LX,IW,9,24,T,38,,IWLX0924T38Q2HQVA
WAREHOUSE,LX,IW,9,24,T,38,,IWLX0924T38ALUVMI
WAREHOUSE,LX,IW,9,24,T,34,,IWLX0924T345OFEH4
WAREHOUSE,LX,IW,9,24,T,38,,IWLX0924T38IRS32J
WAREHOUSE,LX,IW,9,24,T,38,,IWLX0924T38KYOCFE
WAREHOUSE,LX,IW,9,24,T,38,,IWLX0924T3856CV2U
WAREHOUSE,LX,IW,9,24,WC,38,,IWLX0924WC38Q1Q7V7
WAREHOUSE,P,3P,9,24,BZ,1,,3PP0924BZ1MUM4B7
WAREHOUSE,P,3P,9,24,WC,1,,3PP0924WC17RU38D
WAREHOUSE,P,3P,9,24,T,1,,3PP0924T1BBD8XG
WAREHOUSE,P,3P,9,24,BZ,34,,3PP0924BZ34KRCAZQ
WAREHOUSE,P,3P,9,24,BZ,34,,3PP0924BZ34E5JFZD
WAREHOUSE,P,3P,9,24,WC,34,,3PP0924WC34O9R4YN
WAREHOUSE,P,3P,9,24,T,30,,3PP0924T30PHMML1
WAREHOUSE,P,3P,9,24,BZ,36,,3PP0924BZ36G8E545
WAREHOUSE,P,3P,9,24,BZ,36,,3PP0924BZ36UX6UML
WAREHOUSE,P,3P,9,24,WC,36,,3PP0924WC36ZJSO9B
WAREHOUSE,P,3P,9,24,WC,36,,3PP0924WC364X1GB5
WAREHOUSE,P,3P,9,24,T,32,,3PP0924T32P62E21
WAREHOUSE,P,3P,9,24,T,32,,3PP0924T32PNCTH1
WAREHOUSE,P,3P,9,24,BZ,38,,3PP0924BZ38F3B9ZX
WAREHOUSE,P,3P,9,24,BZ,38,,3PP0924BZ38WJUO94
WAREHOUSE,P,3P,9,24,WC,38,,3PP0924WC380ECU03
WAREHOUSE,P,3P,9,24,WC,38,,3PP0924WC38EKC77J
WAREHOUSE,P,3P,9,24,T,34,,3PP0924T3497IFAA
WAREHOUSE,P,3P,9,24,T,34,,3PP0924T34LX1PHP
WAREHOUSE,P,3P,9,24,BZ,40,,3PP0924BZ40X14NA9
WAREHOUSE,P,3P,9,24,BZ,40,,3PP0924BZ40QLOZRF
WAREHOUSE,P,3P,9,24,WC,40,,3PP0924WC40ZXP01Z
WAREHOUSE,P,3P,9,24,WC,40,,3PP0924WC401EVVAN
WAREHOUSE,P,3P,9,24,T,36,,3PP0924T36NJE0KD
WAREHOUSE,P,3P,9,24,T,36,,3PP0924T366BTJ55
WAREHOUSE,P,3P,9,24,BZ,42,,3PP0924BZ428HKKK4
WAREHOUSE,P,3P,9,24,BZ,42,,3PP0924BZ4294EMHL
WAREHOUSE,P,3P,9,24,WC,42,,3PP0924WC42TY26WR
WAREHOUSE,P,3P,9,24,WC,42,,3PP0924WC42ZZEWHR
WAREHOUSE,P,3P,9,24,T,38,,3PP0924T38HD0UHT
WAREHOUSE,P,3P,9,24,T,38,,3PP0924T38BMG397
WAREHOUSE,P,3P,9,24,BZ,44,,3PP0924BZ449Z6PGF
WAREHOUSE,P,3P,9,24,WC,44,,3PP0924WC44OA6RDE
WAREHOUSE,P,3P,9,24,T,40,,3PP0924T40R33CH0
WAREHOUSE,LX,3P,9,24,BZ,34,,3PLX0924BZ34UWOQGA
WAREHOUSE,LX,3P,9,24,BZ,34,,3PLX0924BZ34SB2SJZ
WAREHOUSE,LX,3P,9,24,BZ,34,,3PLX0924BZ348AQPYA
WAREHOUSE,LX,3P,9,24,BZ,34,,3PLX0924BZ344VHKKB
